timestamp,open,high,low,close,volume
2023-11-06,1891.74,1914.0,1869.15,1900.96,122608.92601979
2023-11-07,1900.97,1906.96,1850.35,1885.43,123585.76128556
2023-11-08,1885.43,1904.64,1872.96,1888.5,70362.22618343
2023-11-09,1888.49,2132.0,1882.47,2120.78,204495.98509142
2023-11-10,2121.3,2136.42,2065.22,2077.8,96295.81341679
2023-11-11,2077.94,2089.78,2030.74,2053.18,73432.47499079
2023-11-12,2053.19,2066.81,2012.52,2045.0,56365.35225559
2023-11-13,2045.0,2117.83,2028.9,2053.93,103046.91696033
2023-11-14,2053.81,2064.95,1931.0,1979.23,98104.34619998
2023-11-15,1979.24,2062.24,1967.52,2058.41,101894.71750365
2023-11-16,2058.41,2090.45,1938.55,1961.72,128646.29170223
2023-11-17,1961.73,1991.12,1905.85,1960.77,108582.19087544
2023-11-18,1960.77,1971.15,1916.8,1962.59,61641.40708572
2023-11-19,1962.6,2015.28,1943.54,2011.08,66300.0090209
2023-11-20,2011.38,2066.0,1989.84,2021.34,109216.17751577
2023-11-21,2021.34,2034.55,1931.57,1933.31,156744.86946901
2023-11-22,1933.03,2092.15,1929.42,2063.1,108956.84094628
2023-11-23,2063.13,2088.3,2040.42,2062.14,73378.53745879
2023-11-24,2062.15,2133.33,2059.38,2081.17,93873.42243875
2023-11-25,2081.18,2090.31,2065.71,2083.1,33826.84685862
2023-11-26,2083.11,2094.38,2037.0,2062.28,73107.40324946
2023-11-27,2062.29,2071.2,1985.57,2027.54,98604.00409483
2023-11-28,2027.55,2074.99,1995.36,2048.34,86397.42696816
2023-11-29,2048.2,2076.02,2019.19,2029.09,72760.43309456
2023-11-30,2028.85,2054.83,2021.15,2052.03,57284.16584922
2023-12-01,2052.23,2111.0,2045.39,2087.24,80947.18624522
2023-12-02,2087.25,2188.0,2086.45,2164.66,65905.66805812
2023-12-03,2164.66,2217.31,2149.55,2192.84,61093.02964039
2023-12-04,2192.84,2274.13,2191.39,2243.06,144562.18880065
2023-12-05,2243.07,2309.62,2188.86,2293.34,157853.85114316
2023-12-06,2293.34,2311.97,2219.49,2232.88,140359.30927146
2023-12-07,2232.89,2382.73,2222.0,2355.34,108252.28937358
